Japanese,English
こんにちは,Hello
ありがとう,thank you
すみません,sorry
はい,yes
いいえ,no
おはよう,good morning
おねがいします,Please.
だれ,who
どこ,where
いつ,when
なに,what
かわいい,cute
おいしい,delicious
たべる,eat
のむ,drink
いく,go
みる,see
する,do
くる,Coming
きく,listen
かく,write
よむ,read
おきる,wake up
ねる,sleep
あそぶ,play
テレビ,tv set
パソコン,PC
スマホ,smartphone
トイレ,toilet
コーヒー,coffee
パン,bread
メニュー,menu
カメラ,camera
タクシー,taxi
ホテル,Hotel
レストラン,restaurant
ノート,Notebook
クラス,class
デパート,Department store
ニュース,news
バス,bus
ドア,door
シャツ,shirt
ネクタイ,tie
日本,Japan
私,I
あ,a
い,i
う,u
え,e
お,o
か,ka
き,ki
く,ku
け,ke
こ,ko
さ,sa
し,shi
す,su
せ,se
そ,so
た,ta
ち,chi
つ,tsu
て,te
と,to
な,na
に,ni
ぬ,nu
ね,ne
の,no
は,ha
ひ,hi
ふ,fu
へ,he
ほ,ho
ま,ma
み,mi
む,mu
め,me
も,mo
や,ya
ゆ,yu
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
わ,wa
を,wo
ん,n
ア,a
イ,i
ウ,u
エ,e
オ,o
カ,ka
キ,ki
ク,ku
ケ,ke
コ,ko
サ,sa
シ,shi
ス,su
セ,se
ソ,so
タ,ta
チ,chi
ツ,tsu
テ,te
ト,to
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ハ,ha
ヒ,hi
フ,fu
ヘ,he
ホ,ho
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
ン,n
一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
日,sun/day
月,moon/month
火,fire
水,water
木,tree/wood
金,gold/money
土,soil/earth
人,person
山,mountain
川,river
